genus,species,id,year,lat,long,elev,budburst,flowers,fruits,leafout,col.leaves,leafdrop,last.obs,gdd.start,yr.end,type
Betula,nigra,86260,2015,42.301922,-71.123932,36,142,150,NA,313,218,240,240,46,365,Treespotters
Betula,nigra,86260,2016,42.301922,-71.123932,36,111,114,147,125,246,260,260,46,366,Treespotters
Betula,nigra,86260,2017,42.301922,-71.123932,36,101,109,136,117,209,230,230,46,365,Treespotters
Betula,nigra,86260,2018,42.301922,-71.123932,36,118,122,138,122,250,257,257,46,365,Treespotters
Betula,nigra,86260,2019,42.301922,-71.123932,36,107,107,152,122,230,230,230,46,365,Treespotters
Betula,nigra,86260,2020,42.301922,-71.123932,36,126,120,147,133,197,197,197,46,366,Treespotters
Betula,nigra,86261,2016,42.301922,-71.123932,36,114,124,NA,130,279,289,289,46,366,Treespotters
Betula,nigra,86261,2017,42.301922,-71.123932,36,100,118,149,118,250,247,247,46,365,Treespotters
Betula,nigra,86261,2018,42.301922,-71.123932,36,122,122,154,122,272,272,272,46,365,Treespotters
Betula,nigra,86261,2019,42.301922,-71.123932,36,111,111,NA,126,237,251,251,46,365,Treespotters
Betula,nigra,86261,2020,42.301922,-71.123932,36,126,120,160,128,258,271,271,46,366,Treespotters
Betula,nigra,87754,2016,42.301922,-71.123932,36,112,124,162,130,281,284,284,46,366,Treespotters
Betula,nigra,87754,2017,42.301922,-71.123932,36,101,125,149,118,230,241,241,46,365,Treespotters
Betula,nigra,87754,2018,42.301922,-71.123932,36,122,125,154,125,251,256,256,46,365,Treespotters
Betula,nigra,87754,2019,42.301922,-71.123932,36,110,112,157,126,237,239,239,46,365,Treespotters
Betula,nigra,87754,2020,42.301922,-71.123932,36,126,120,160,126,226,271,271,46,366,Treespotters
Carya,glabra,86262,2017,42.30024,-71.12606,33,118,126,251,120,251,NA,251,46,365,Treespotters
Carya,glabra,86262,2018,42.30024,-71.12606,33,123,126,153,126,249,256,256,46,365,Treespotters
Carya,glabra,86262,2019,42.30024,-71.12606,33,111,124,151,124,261,264,264,46,365,Treespotters
Carya,glabra,86262,2020,42.30024,-71.12606,33,125,149,168,136,262,NA,262,46,366,Treespotters
Carya,glabra,86263,2017,42.30024,-71.12606,33,110,118,166,118,253,253,253,46,365,Treespotters
Carya,glabra,86263,2018,42.30024,-71.12606,33,118,122,153,122,258,258,258,46,365,Treespotters
Carya,glabra,86263,2019,42.30024,-71.12606,33,108,128,145,111,253,264,264,46,365,Treespotters
Carya,glabra,86263,2020,42.30024,-71.12606,33,125,127,168,127,259,NA,259,46,366,Treespotters
Carya,glabra,86264,2017,42.30024,-71.12606,33,100,NA,241,114,253,253,253,46,365,Treespotters
Carya,glabra,86264,2018,42.30024,-71.12606,33,119,NA,153,122,249,256,256,46,365,Treespotters
Carya,glabra,86264,2019,42.30024,-71.12606,33,108,132,188,111,251,264,264,46,365,Treespotters
Carya,glabra,86264,2020,42.30024,-71.12606,33,119,NA,220,127,262,NA,262,46,366,Treespotters
Carya,glabra,86265,2016,42.30024,-71.12606,33,122,130,150,122,285,285,285,46,366,Treespotters
Carya,glabra,86265,2017,42.30024,-71.12606,33,100,118,166,118,253,253,253,46,365,Treespotters
Carya,glabra,86265,2019,42.30024,-71.12606,33,108,128,155,115,260,264,264,46,365,Treespotters
Carya,glabra,86265,2020,42.30024,-71.12606,33,125,127,168,127,251,NA,251,46,366,Treespotters
Carya,glabra,86266,2016,42.30024,-71.12606,33,118,118,150,122,285,285,285,46,366,Treespotters
Carya,glabra,86266,2017,42.30024,-71.12606,33,100,117,147,117,253,253,253,46,365,Treespotters
Carya,glabra,86266,2018,42.30024,-71.12606,33,118,122,153,122,258,288,288,46,365,Treespotters
Carya,glabra,86266,2019,42.30024,-71.12606,33,108,115,145,111,251,264,264,46,365,Treespotters
Carya,glabra,86266,2020,42.30024,-71.12606,33,124,126,156,126,260,NA,260,46,366,Treespotters
Carya,ovata,86268,2016,42.30024,-71.12606,33,130,142,150,131,284,295,295,46,366,Treespotters
Carya,ovata,86268,2017,42.30024,-71.12606,33,105,124,172,118,278,264,264,46,365,Treespotters
