"phase","id","pheno_indiv_obs#","Common_Name"
"Recent fruit or seed drop",86270,88,"shagbark hickory"
"Recent fruit or seed drop",86271,97,"shagbark hickory"
"Recent fruit or seed drop",86272,115,"shagbark hickory"
"Recent fruit or seed drop",86273,5,"American beech"
"Recent fruit or seed drop",86274,42,"American beech"
"Recent fruit or seed drop",86275,36,"American beech"
"Recent fruit or seed drop",86276,8,"American beech"
"Recent fruit or seed drop",86278,47,"eastern cottonwood"
"Recent fruit or seed drop",86279,30,"eastern cottonwood"
"Recent fruit or seed drop",86280,31,"eastern cottonwood"
"Recent fruit or seed drop",86281,47,"eastern cottonwood"
"Recent fruit or seed drop",86282,8,"eastern cottonwood"
"Recent fruit or seed drop",86285,50,"northern red oak"
"Recent fruit or seed drop",86286,41,"northern red oak"
"Recent fruit or seed drop",86287,29,"northern red oak"
"Recent fruit or seed drop",86288,37,"northern red oak"
"Recent fruit or seed drop",86289,128,"American basswood"
"Recent fruit or seed drop",86290,68,"American basswood"
"Recent fruit or seed drop",87754,28,"river birch"
"Recent fruit or seed drop",87756,56,"white oak"
"Recent fruit or seed drop",87757,86,"American basswood"
"Recent fruit or seed drop",87758,31,"white oak"
"Recent fruit or seed drop",87759,15,"white oak"
"Recent fruit or seed drop",87760,15,"northern red oak"
"Recent fruit or seed drop",87761,36,"white oak"
"Recent fruit or seed drop",87762,72,"American basswood"
"Recent fruit or seed drop",87763,43,"American basswood"
"Recent fruit or seed drop",88311,21,"white oak"
"Recent fruit or seed drop",92203,3,"sugar maple"
"Recent fruit or seed drop",92204,82,"sugar maple"
"Recent fruit or seed drop",92206,33,"sugar maple"
"Recent fruit or seed drop",92208,23,"sugar maple"
"Recent fruit or seed drop",92209,66,"sugar maple"
"Recent fruit or seed drop",135343,15,"American beech"
"Recent fruit or seed drop",135911,18,"American beech"
"Recent fruit or seed drop",166763,20,"red maple"
"Recent fruit or seed drop",166765,2,"red maple"
"Recent fruit or seed drop",166766,1,"red maple"
"Recent fruit or seed drop",166767,4,"red maple"
"Recent fruit or seed drop",166768,5,"highbush blueberry"
"Recent fruit or seed drop",166769,5,"highbush blueberry"
"Recent fruit or seed drop",166773,1,"highbush blueberry"
"Recent fruit or seed drop",166774,1,"highbush blueberry"
"Recent fruit or seed drop",166775,3,"highbush blueberry"
"Recent fruit or seed drop",166776,26,"American witchhazel"
"Recent fruit or seed drop",166777,24,"American witchhazel"
"Recent fruit or seed drop",166778,21,"American witchhazel"
"Recent fruit or seed drop",166779,24,"American witchhazel"
"Recent fruit or seed drop",166780,24,"American witchhazel"
"Recent fruit or seed drop",169165,32,"possumhaw"
"Recent fruit or seed drop",169166,20,"possumhaw"
"Recent fruit or seed drop",169167,24,"possumhaw"
"Recent fruit or seed drop",169168,29,"possumhaw"
"Recent fruit or seed drop",169171,25,"possumhaw"
"Ripe fruits",85751,27,"yellow buckeye"
"Ripe fruits",85755,32,"yellow buckeye"
"Ripe fruits",85756,44,"yellow buckeye"
"Ripe fruits",85757,54,"yellow buckeye"
"Ripe fruits",85758,39,"yellow buckeye"
"Ripe fruits",85759,194,"yellow birch"
"Ripe fruits",85761,112,"yellow birch"
"Ripe fruits",85762,158,"yellow birch"
"Ripe fruits",85763,103,"yellow birch"
"Ripe fruits",85764,206,"yellow birch"
"Ripe fruits",86258,15,"river birch"
"Ripe fruits",86259,33,"river birch"
"Ripe fruits",86260,70,"river birch"
"Ripe fruits",86261,38,"river birch"
"Ripe fruits",86262,35,"pignut hickory"
"Ripe fruits",86263,41,"pignut hickory"
"Ripe fruits",86264,22,"pignut hickory"
"Ripe fruits",86265,46,"pignut hickory"
"Ripe fruits",86266,48,"pignut hickory"
"Ripe fruits",86268,64,"shagbark hickory"
"Ripe fruits",86269,71,"shagbark hickory"
"Ripe fruits",86270,72,"shagbark hickory"
"Ripe fruits",86271,53,"shagbark hickory"
"Ripe fruits",86272,82,"shagbark hickory"
"Ripe fruits",86273,5,"American beech"
"Ripe fruits",86274,32,"American beech"
"Ripe fruits",86275,26,"American beech"
"Ripe fruits",86276,4,"American beech"
"Ripe fruits",86277,3,"American beech"
"Ripe fruits",86278,39,"eastern cottonwood"
"Ripe fruits",86279,26,"eastern cottonwood"
"Ripe fruits",86280,28,"eastern cottonwood"
"Ripe fruits",86281,40,"eastern cottonwood"
"Ripe fruits",86282,4,"eastern cottonwood"
"Ripe fruits",86285,28,"northern red oak"
"Ripe fruits",86286,23,"northern red oak"
"Ripe fruits",86287,10,"northern red oak"
"Ripe fruits",86288,17,"northern red oak"
"Ripe fruits",86289,124,"American basswood"
"Ripe fruits",86290,117,"American basswood"
"Ripe fruits",87754,22,"river birch"
"Ripe fruits",87756,18,"white oak"
"Ripe fruits",87757,90,"American basswood"
"Ripe fruits",87758,14,"white oak"
"Ripe fruits",87759,9,"white oak"
"Ripe fruits",87760,6,"northern red oak"
"Ripe fruits",87761,8,"white oak"
"Ripe fruits",87762,125,"American basswood"
"Ripe fruits",87763,71,"American basswood"
"Ripe fruits",88311,9,"white oak"
"Ripe fruits",92204,93,"sugar maple"
"Ripe fruits",92206,27,"sugar maple"
"Ripe fruits",92208,23,"sugar maple"
"Ripe fruits",92209,45,"sugar maple"
"Ripe fruits",135343,15,"American beech"
"Ripe fruits",135911,15,"American beech"
"Ripe fruits",166763,25,"red maple"
"Ripe fruits",166764,1,"red maple"
"Ripe fruits",166767,6,"red maple"
"Ripe fruits",166768,25,"highbush blueberry"
"Ripe fruits",166769,14,"highbush blueberry"
"Ripe fruits",166773,9,"highbush blueberry"
"Ripe fruits",166774,4,"highbush blueberry"
"Ripe fruits",166775,18,"highbush blueberry"
"Ripe fruits",166776,23,"American witchhazel"
"Ripe fruits",166777,21,"American witchhazel"
"Ripe fruits",166778,21,"American witchhazel"
"Ripe fruits",166779,29,"American witchhazel"
"Ripe fruits",166780,33,"American witchhazel"
"Ripe fruits",169165,57,"possumhaw"
"Ripe fruits",169166,48,"possumhaw"
"Ripe fruits",169167,56,"possumhaw"
"Ripe fruits",169168,71,"possumhaw"
"Ripe fruits",169171,28,"possumhaw"
