"phase","id","pheno_indiv_obs#","Common_Name"
"leafout",92203,390,"sugar maple"
"leafout",92204,440,"sugar maple"
"leafout",92206,226,"sugar maple"
"leafout",92208,223,"sugar maple"
"leafout",92209,398,"sugar maple"
"leafout",135343,70,"American beech"
"leafout",135911,101,"American beech"
"leafout",166763,157,"red maple"
"leafout",166764,161,"red maple"
"leafout",166765,142,"red maple"
"leafout",166766,111,"red maple"
"leafout",166767,109,"red maple"
"leafout",166768,139,"highbush blueberry"
"leafout",166769,115,"highbush blueberry"
"leafout",166773,88,"highbush blueberry"
"leafout",166774,91,"highbush blueberry"
"leafout",166775,160,"highbush blueberry"
"leafout",166776,113,"American witchhazel"
"leafout",166777,123,"American witchhazel"
"leafout",166778,107,"American witchhazel"
"leafout",166779,120,"American witchhazel"
"leafout",166780,121,"American witchhazel"
"leafout",169165,229,"possumhaw"
"leafout",169166,231,"possumhaw"
"leafout",169167,223,"possumhaw"
"leafout",169168,223,"possumhaw"
"leafout",169171,170,"possumhaw"
"Open flowers",85751,40,"yellow buckeye"
"Open flowers",85755,33,"yellow buckeye"
"Open flowers",85756,35,"yellow buckeye"
"Open flowers",85757,56,"yellow buckeye"
"Open flowers",85758,71,"yellow buckeye"
"Open flowers",85759,87,"yellow birch"
"Open flowers",85761,81,"yellow birch"
"Open flowers",85762,113,"yellow birch"
"Open flowers",85763,66,"yellow birch"
"Open flowers",85764,105,"yellow birch"
"Open flowers",86258,60,"river birch"
"Open flowers",86259,102,"river birch"
"Open flowers",86260,124,"river birch"
"Open flowers",86261,69,"river birch"
"Open flowers",86262,21,"pignut hickory"
"Open flowers",86263,27,"pignut hickory"
"Open flowers",86264,12,"pignut hickory"
"Open flowers",86265,30,"pignut hickory"
"Open flowers",86266,36,"pignut hickory"
"Open flowers",86268,44,"shagbark hickory"
"Open flowers",86269,39,"shagbark hickory"
"Open flowers",86270,52,"shagbark hickory"
"Open flowers",86271,41,"shagbark hickory"
"Open flowers",86272,55,"shagbark hickory"
"Open flowers",86273,14,"American beech"
"Open flowers",86274,18,"American beech"
"Open flowers",86275,30,"American beech"
"Open flowers",86276,10,"American beech"
"Open flowers",86277,14,"American beech"
"Open flowers",86278,29,"eastern cottonwood"
"Open flowers",86279,23,"eastern cottonwood"
"Open flowers",86280,27,"eastern cottonwood"
"Open flowers",86281,25,"eastern cottonwood"
"Open flowers",86282,41,"eastern cottonwood"
"Open flowers",86285,22,"northern red oak"
"Open flowers",86286,20,"northern red oak"
"Open flowers",86287,12,"northern red oak"
"Open flowers",86288,15,"northern red oak"
"Open flowers",86289,38,"American basswood"
"Open flowers",86290,19,"American basswood"
"Open flowers",87754,64,"river birch"
"Open flowers",87756,8,"white oak"
"Open flowers",87757,27,"American basswood"
"Open flowers",87758,23,"white oak"
"Open flowers",87759,13,"white oak"
"Open flowers",87760,14,"northern red oak"
"Open flowers",87761,3,"white oak"
"Open flowers",87762,25,"American basswood"
"Open flowers",87763,15,"American basswood"
"Open flowers",88311,13,"white oak"
"Open flowers",92203,3,"sugar maple"
"Open flowers",92204,77,"sugar maple"
"Open flowers",92206,26,"sugar maple"
"Open flowers",92208,17,"sugar maple"
"Open flowers",92209,16,"sugar maple"
"Open flowers",135343,8,"American beech"
"Open flowers",135911,7,"American beech"
"Open flowers",166763,39,"red maple"
"Open flowers",166764,27,"red maple"
"Open flowers",166765,40,"red maple"
"Open flowers",166766,17,"red maple"
"Open flowers",166767,19,"red maple"
"Open flowers",166768,34,"highbush blueberry"
"Open flowers",166769,20,"highbush blueberry"
"Open flowers",166773,8,"highbush blueberry"
"Open flowers",166774,10,"highbush blueberry"
"Open flowers",166775,33,"highbush blueberry"
"Open flowers",166776,42,"American witchhazel"
"Open flowers",166777,48,"American witchhazel"
"Open flowers",166778,53,"American witchhazel"
"Open flowers",166779,40,"American witchhazel"
"Open flowers",166780,41,"American witchhazel"
"Open flowers",169165,18,"possumhaw"
"Open flowers",169166,18,"possumhaw"
"Open flowers",169167,17,"possumhaw"
"Open flowers",169168,22,"possumhaw"
"Open flowers",169171,61,"possumhaw"
"Pollen release (flowers)",85759,38,"yellow birch"
"Pollen release (flowers)",85761,35,"yellow birch"
"Pollen release (flowers)",85762,56,"yellow birch"
"Pollen release (flowers)",85763,25,"yellow birch"
"Pollen release (flowers)",85764,60,"yellow birch"
"Pollen release (flowers)",86258,23,"river birch"
"Pollen release (flowers)",86259,58,"river birch"
"Pollen release (flowers)",86260,61,"river birch"
"Pollen release (flowers)",86261,35,"river birch"
"Pollen release (flowers)",86262,14,"pignut hickory"
"Pollen release (flowers)",86263,6,"pignut hickory"
"Pollen release (flowers)",86264,4,"pignut hickory"
"Pollen release (flowers)",86265,13,"pignut hickory"
"Pollen release (flowers)",86266,12,"pignut hickory"
"Pollen release (flowers)",86268,17,"shagbark hickory"
"Pollen release (flowers)",86269,15,"shagbark hickory"
"Pollen release (flowers)",86270,21,"shagbark hickory"
"Pollen release (flowers)",86271,19,"shagbark hickory"
"Pollen release (flowers)",86272,26,"shagbark hickory"
"Pollen release (flowers)",86278,18,"eastern cottonwood"
"Pollen release (flowers)",86279,15,"eastern cottonwood"
"Pollen release (flowers)",86280,13,"eastern cottonwood"
"Pollen release (flowers)",86281,18,"eastern cottonwood"
"Pollen release (flowers)",86282,31,"eastern cottonwood"
"Pollen release (flowers)",86285,15,"northern red oak"
"Pollen release (flowers)",86286,10,"northern red oak"
"Pollen release (flowers)",86287,6,"northern red oak"
"Pollen release (flowers)",86288,7,"northern red oak"
