Common_Name,phase,year,doy,id,Scientific_Names
red maple,leaf drop,2020,257,166765,Acer rubrum
red maple,leaf drop,2020,321,166765,Acer rubrum
red maple,flowers,2019,76,166764,Acer rubrum
red maple,flowers,2019,89,166764,Acer rubrum
red maple,flowers,2019,95,166764,Acer rubrum
red maple,flowers,2019,109,166764,Acer rubrum
red maple,flowers,2019,118,166764,Acer rubrum
red maple,flowers,2019,121,166764,Acer rubrum
red maple,flowers,2019,76,166765,Acer rubrum
red maple,flowers,2019,86,166765,Acer rubrum
red maple,flowers,2019,115,166765,Acer rubrum
red maple,flowers,2019,133,166765,Acer rubrum
red maple,flowers,2020,75,166764,Acer rubrum
red maple,flowers,2020,80,166764,Acer rubrum
red maple,flowers,2020,111,166764,Acer rubrum
red maple,flowers,2020,114,166764,Acer rubrum
red maple,flowers,2020,71,166765,Acer rubrum
red maple,flowers,2020,108,166765,Acer rubrum
red maple,flowers,2020,111,166765,Acer rubrum
red maple,flowers,2020,114,166765,Acer rubrum
red maple,flowers,2021,73,166764,Acer rubrum
red maple,flowers,2021,86,166764,Acer rubrum
red maple,flowers,2021,108,166764,Acer rubrum
red maple,flowers,2021,69,166765,Acer rubrum
red maple,flowers,2021,73,166765,Acer rubrum
red maple,flowers,2021,81,166765,Acer rubrum
red maple,Open flowers,2019,96,166764,Acer rubrum
red maple,Open flowers,2019,109,166764,Acer rubrum
red maple,Open flowers,2019,115,166764,Acer rubrum
red maple,Open flowers,2019,118,166764,Acer rubrum
red maple,Open flowers,2019,121,166764,Acer rubrum
red maple,Open flowers,2019,89,166765,Acer rubrum
red maple,Open flowers,2019,96,166765,Acer rubrum
red maple,Open flowers,2019,115,166765,Acer rubrum
red maple,Open flowers,2020,75,166764,Acer rubrum
red maple,Open flowers,2020,80,166764,Acer rubrum
red maple,Open flowers,2020,87,166764,Acer rubrum
red maple,Open flowers,2020,72,166765,Acer rubrum
red maple,Open flowers,2020,108,166765,Acer rubrum
red maple,Open flowers,2020,111,166765,Acer rubrum
red maple,Open flowers,2021,86,166764,Acer rubrum
red maple,Open flowers,2021,84,166765,Acer rubrum
red maple,Pollen release (flowers),2019,96,166764,Acer rubrum
red maple,Pollen release (flowers),2019,103,166764,Acer rubrum
red maple,Pollen release (flowers),2019,92,166765,Acer rubrum
red maple,Pollen release (flowers),2019,96,166765,Acer rubrum
red maple,Pollen release (flowers),2019,103,166765,Acer rubrum
red maple,Pollen release (flowers),2019,107,166765,Acer rubrum
red maple,Pollen release (flowers),2019,117,166765,Acer rubrum
red maple,Pollen release (flowers),2020,92,166764,Acer rubrum
red maple,Pollen release (flowers),2020,101,166764,Acer rubrum
red maple,Pollen release (flowers),2020,75,166765,Acer rubrum
red maple,Pollen release (flowers),2020,92,166765,Acer rubrum
red maple,Pollen release (flowers),2020,101,166765,Acer rubrum
red maple,Pollen release (flowers),2021,86,166764,Acer rubrum
red maple,Pollen release (flowers),2021,93,166764,Acer rubrum
red maple,Pollen release (flowers),2021,100,166764,Acer rubrum
red maple,Pollen release (flowers),2021,86,166765,Acer rubrum
red maple,Pollen release (flowers),2021,93,166765,Acer rubrum
red maple,Pollen release (flowers),2021,100,166765,Acer rubrum
red maple,Pollen release (flowers),2021,109,166765,Acer rubrum
red maple,Fruits,2019,121,166764,Acer rubrum
red maple,Fruits,2019,141,166764,Acer rubrum
red maple,Fruits,2019,121,166765,Acer rubrum
red maple,Ripe fruits,2020,114,166764,Acer rubrum
red maple,Recent fruit or seed drop,2019,117,166765,Acer rubrum
red maple,Recent fruit or seed drop,2019,145,166765,Acer rubrum
