"common_name","year","phase","tree_id","doy_mean","doy_median","obs_number","first_doy","last_doy","interquartile_range"
"American basswood",2018,"flowers",86289,145.844444444444,152,45,85,189,23
"American basswood",2018,"flowers",86290,159.692307692308,157.5,26,133,194,30.5
"American basswood",2018,"flowers",87757,142.578947368421,154,19,108,171,22.5
"American basswood",2018,"flowers",87762,160.434782608696,159,23,137,192,28.5
"American basswood",2018,"flowers",87763,143.666666666667,146,12,131,159,13.75
"American basswood",2018,"Fruits",86289,250.292682926829,252,41,172,330,75
"American basswood",2018,"Fruits",86290,252.765957446808,256,47,111,357,75.5
"American basswood",2018,"Fruits",87757,247.8125,251,16,162,330,51
"American basswood",2018,"Fruits",87762,269.307692307692,269,39,192,357,75.5
"American basswood",2018,"Fruits",87763,214.5,206,4,195,251,30.5
"American basswood",2018,"Increasing leaf size",86289,143.838709677419,141,31,124,188,23
"American basswood",2018,"Increasing leaf size",86290,138.136363636364,138,22,125,151,14
"American basswood",2018,"Increasing leaf size",87757,143.590909090909,134,22,124,271,13
"American basswood",2018,"Increasing leaf size",87762,132.933333333333,131,15,122,145,15
"American basswood",2018,"Increasing leaf size",87763,135.235294117647,133,17,122,147,14
"American basswood",2018,"leaf drop",86289,293.166666666667,296.5,12,271,314,25
"American basswood",2018,"leaf drop",86290,260.333333333333,264,27,185,313,49.5
"American basswood",2018,"leaf drop",87757,248.25,277,20,154,308,147
"American basswood",2018,"leaf drop",87762,279.68,281,25,234,315,47
"American basswood",2018,"leaf drop",87763,274.869565217391,278,23,227,315,42.5
"American basswood",2018,"leafout",86289,190.080459770115,170,87,122,314,95
"American basswood",2018,"leafout",86290,199.308641975309,185,81,121,321,107
"American basswood",2018,"leafout",87757,192.0875,170.5,80,20,308,104
"American basswood",2018,"leafout",87762,205.861111111111,193.5,72,122,315,113.75
"American basswood",2018,"leafout",87763,194.634615384615,177,52,122,301,111.75
"American basswood",2018,"Open flowers",86289,169.625,178.5,8,137,189,37.5
"American basswood",2018,"Open flowers",86290,185,185,6,176,194,14
"American basswood",2018,"Open flowers",87757,149,154,8,134,154,5
"American basswood",2018,"Open flowers",87762,189.666666666667,192,3,185,192,3.5
"American basswood",2018,"Pollen release (flowers)",86289,225.5,208.5,6,146,301,95
"American basswood",2018,"Pollen release (flowers)",86290,194,194,1,194,194,0
"American basswood",2018,"Pollen release (flowers)",87757,185.777777777778,154,9,146,301,0
"American basswood",2018,"Pollen release (flowers)",87762,122,122,3,122,122,0
"American basswood",2018,"Pollen release (flowers)",87763,122,122,3,122,122,0
"American basswood",2018,"Recent fruit or seed drop",86289,259.40625,261,32,188,330,54
"American basswood",2018,"Recent fruit or seed drop",86290,248.384615384615,246,13,213,285,42
"American basswood",2018,"Recent fruit or seed drop",87757,266,265.5,14,202,308,26.5
"American basswood",2018,"Recent fruit or seed drop",87762,259.615384615385,264,13,222,293,33
"American basswood",2018,"Recent fruit or seed drop",87763,266,266,2,251,281,15
"American basswood",2018,"Ripe fruits",86289,268.866666666667,270.5,30,188,330,49.75
"American basswood",2018,"Ripe fruits",86290,277.189189189189,276,37,213,357,62
"American basswood",2018,"Ripe fruits",87757,265.846153846154,252,13,225,330,34
"American basswood",2018,"Ripe fruits",87762,286.935483870968,282,31,222,357,58.5
"American basswood",2018,"Ripe fruits",87763,251,251,1,251,251,0
"American basswood",2019,"budburst",86289,151.15,140,20,91,229,53
"American basswood",2019,"budburst",86290,119.8,114,10,109,147,16.25
"American basswood",2019,"budburst",87757,156,140,20,104,229,64
"American basswood",2019,"budburst",87762,121.5625,124,16,109,135,14.75
"American basswood",2019,"budburst",87763,121.285714285714,118,7,111,136,13
"American basswood",2019,"Colored leaves",86289,281.65,283,20,245,313,21.5
"American basswood",2019,"Colored leaves",86290,252.125,251.5,24,155,314,61
"American basswood",2019,"Colored leaves",87757,272.857142857143,277,14,229,297,26
"American basswood",2019,"Colored leaves",87762,253.130434782609,255,23,185,314,72.5
"American basswood",2019,"Colored leaves",87763,253.391304347826,251,23,214,297,41
"American basswood",2019,"flowers",86289,171.434782608696,159,23,134,245,36.5
"American basswood",2019,"flowers",86290,175.727272727273,175,11,161,195,14
"American basswood",2019,"flowers",87757,179.772727272727,164,22,140,260,57.75
"American basswood",2019,"flowers",87762,164.352941176471,165,17,138,190,20
"American basswood",2019,"flowers",87763,160.846153846154,161,13,138,190,23
"American basswood",2019,"Fruits",86289,253.357142857143,262,28,173,300,46
"American basswood",2019,"Fruits",86290,215.538461538462,227,39,73,333,133.5
"American basswood",2019,"Fruits",87757,246.5,251,22,173,288,53.25
"American basswood",2019,"Fruits",87762,226.925,230.5,40,73,333,88.75
"American basswood",2019,"Fruits",87763,243.707317073171,243,41,147,333,77
"American basswood",2019,"Increasing leaf size",86289,156.8,143.5,20,115,229,45.5
"American basswood",2019,"Increasing leaf size",86290,128.692307692308,128,13,112,155,11
"American basswood",2019,"Increasing leaf size",87757,159.6,140,20,123,229,60.5
"American basswood",2019,"Increasing leaf size",87762,127.058823529412,126,17,111,155,9
"American basswood",2019,"Increasing leaf size",87763,132.727272727273,129,11,115,155,16.5
"American basswood",2019,"leaf drop",86289,285.583333333333,288,12,245,313,19.75
"American basswood",2019,"leaf drop",86290,270.277777777778,274,18,221,314,50.5
"American basswood",2019,"leaf drop",87757,274.642857142857,278,14,229,306,26.25
"American basswood",2019,"leaf drop",87762,263.5,266,16,195,314,61.75
"American basswood",2019,"leaf drop",87763,257.388888888889,258.5,18,214,297,40
"American basswood",2019,"leafout",86289,209.789473684211,209,57,115,313,120
"American basswood",2019,"leafout",86290,204.054545454545,197,55,114,314,91
"American basswood",2019,"leafout",87757,197.851063829787,185,47,123,297,102
"American basswood",2019,"leafout",87762,193.403225806452,178,62,111,314,97.25
"American basswood",2019,"leafout",87763,198.785714285714,200,56,111,297,98
"American basswood",2019,"Open flowers",86289,208.125,209,8,183,245,35.75
"American basswood",2019,"Open flowers",86290,190,190,3,185,195,5
"American basswood",2019,"Open flowers",87757,181.916666666667,185.5,12,134,229,69
