"common_name","year","phase","tree_id","doy_mean","doy_median","obs_number","first_doy","last_doy","maximn_range","interquartile_range"
"American basswood",2018,"Fruits",86290,262.846153846154,254,26,214,321,107,59.25
"American basswood",2018,"Fruits",87757,230,230,2,208,252,44,22
"American basswood",2018,"Fruits",87762,257.478260869565,251,23,192,321,129,51
"American basswood",2018,"Increasing leaf size",86289,130.571428571429,130,14,124,141,17,10.5
"American basswood",2018,"Increasing leaf size",86290,134.866666666667,132,15,125,151,26,7.5
"American basswood",2018,"Increasing leaf size",87757,133.125,131,16,124,173,49,11.25
"American basswood",2018,"Increasing leaf size",87762,130.888888888889,131,9,122,145,23,3
"American basswood",2018,"Increasing leaf size",87763,136.666666666667,133,9,131,147,16,14
"American basswood",2018,"leaf drop",86289,293.625,301,8,271,308,37,25
"American basswood",2018,"leaf drop",86290,271.071428571429,274,14,234,308,74,28.25
"American basswood",2018,"leaf drop",87757,295,301,9,270,308,38,26
"American basswood",2018,"leaf drop",87762,284.5625,283.5,16,234,315,81,32.25
"American basswood",2018,"leaf drop",87763,273.533333333333,278,15,246,315,69,34
"American basswood",2018,"leafout",86289,182.026315789474,156.5,76,122,308,186,77.75
"American basswood",2018,"leafout",86290,191.485294117647,168.5,68,121,321,200,100.5
"American basswood",2018,"leafout",87757,188.239436619718,162,71,124,308,184,93
"American basswood",2018,"leafout",87762,198.627118644068,178,59,122,315,193,108
"American basswood",2018,"leafout",87763,186.925,148,40,122,301,179,118.5
"American basswood",2018,"Open flowers",86289,184.5,184.5,2,180,189,9,4.5
"American basswood",2018,"Open flowers",86290,186.4,192,5,176,194,18,14
"American basswood",2018,"Pollen release (flowers)",86290,194,194,1,194,194,0,0
"American basswood",2018,"Pollen release (flowers)",87762,122,122,1,122,122,0,0
"American basswood",2018,"Pollen release (flowers)",87763,122,122,1,122,122,0,0
"American basswood",2018,"Recent fruit or seed drop",86289,253.235294117647,256,17,206,308,102,35
"American basswood",2018,"Recent fruit or seed drop",86290,238.8,234,5,227,272,45,7
"American basswood",2018,"Recent fruit or seed drop",87757,263.75,266,4,252,271,19,10.75
"American basswood",2018,"Recent fruit or seed drop",87762,265,276.5,4,222,285,63,22.5
"American basswood",2018,"Ripe fruits",86289,277.3125,274.5,16,206,330,124,42.75
"American basswood",2018,"Ripe fruits",86290,268.130434782609,272,23,213,321,108,62
"American basswood",2018,"Ripe fruits",87757,234.25,230,4,225,252,27,8.25
"American basswood",2018,"Ripe fruits",87762,284.066666666667,281,15,246,321,75,47
"American basswood",2018,"Ripe fruits",87763,251,251,1,251,251,0,0
"American basswood",2019,"budburst",86289,117.666666666667,123,3,107,123,16,8
"American basswood",2019,"budburst",86290,114.666666666667,113,6,109,128,19,2.75
"American basswood",2019,"budburst",87757,126.833333333333,128.5,6,115,134,19,5.5
"American basswood",2019,"budburst",87762,118.272727272727,114,11,109,129,20,15
"American basswood",2019,"budburst",87763,117.4,115,5,111,129,18,4
"American basswood",2019,"Colored leaves",86289,286.428571428571,287.5,14,270,302,32,14.5
"American basswood",2019,"Colored leaves",86290,274.333333333333,286,9,224,314,90,62
"American basswood",2019,"Colored leaves",87757,277.5,278,8,260,297,37,19.75
"American basswood",2019,"Colored leaves",87762,254.545454545455,224,11,185,314,129,90
"American basswood",2019,"Colored leaves",87763,246.866666666667,251,15,214,286,72,35
"American basswood",2019,"flowers",86289,163,157,8,151,186,35,12.25
"American basswood",2019,"flowers",86290,170.428571428571,173,7,161,178,17,12.5
"American basswood",2019,"flowers",87757,159,153,6,151,185,34,6.5
"American basswood",2019,"flowers",87762,162.846153846154,165,13,138,178,40,15
"American basswood",2019,"flowers",87763,160.4,165,5,147,178,31,18
"American basswood",2019,"Fruits",86289,260.823529411765,267,17,209,288,79,21
"American basswood",2019,"Fruits",86290,241.333333333333,232,12,128,314,186,60.5
"American basswood",2019,"Fruits",87757,249.5,260,10,209,288,79,61.25
"American basswood",2019,"Fruits",87762,252.133333333333,227,15,197,314,117,76.5
"American basswood",2019,"Fruits",87763,253,246,20,191,314,123,57.5
"American basswood",2019,"Increasing leaf size",86289,135.555555555556,135,9,123,159,36,11
"American basswood",2019,"Increasing leaf size",86290,125.7,127,10,112,135,23,6.25
"American basswood",2019,"Increasing leaf size",87757,132.090909090909,131,11,123,140,17,11
"American basswood",2019,"Increasing leaf size",87762,125.090909090909,126,11,111,135,24,4.5
"American basswood",2019,"Increasing leaf size",87763,130.75,128.5,8,115,147,32,14.75
"American basswood",2019,"leaf drop",86289,299.666666666667,300,3,297,302,5,2.5
"American basswood",2019,"leaf drop",86290,295.666666666667,306,6,248,314,66,21
"American basswood",2019,"leaf drop",87757,278.428571428571,278,7,260,297,37,19
"American basswood",2019,"leaf drop",87762,310,310,4,306,314,8,8
"American basswood",2019,"leaf drop",87763,263.833333333333,263,6,248,286,38,19.75
"American basswood",2019,"leafout",86289,206.384615384615,186,39,123,302,179,131
"American basswood",2019,"leafout",86290,194.631578947368,176.5,38,124,314,190,83
"American basswood",2019,"leafout",87757,176.076923076923,152,26,123,288,165,74.25
"American basswood",2019,"leafout",87762,179.333333333333,163,45,111,314,203,87
"American basswood",2019,"leafout",87763,191.102564102564,191,39,111,286,175,103.5
"American basswood",2019,"Open flowers",86289,184.666666666667,185,3,183,186,3,1.5
"American basswood",2019,"Open flowers",86290,185,185,1,185,185,0,0
"American basswood",2019,"Open flowers",87757,185.5,185.5,2,185,186,1,0.5
"American basswood",2019,"Open flowers",87762,178,178,2,178,178,0,0
"American basswood",2019,"Pollen release (flowers)",86289,184.666666666667,185,3,183,186,3,1.5
"American basswood",2019,"Pollen release (flowers)",87757,184.666666666667,185,3,183,186,3,1.5
"American basswood",2019,"Pollen release (flowers)",87763,191.333333333333,191,3,191,192,1,0.5
