"genus","species","id","year","budburst","Colored leaves","flowers","Fruits","Increasing leaf size","leaf drop","leafout","Open flowers","Pollen release (flowers)","Recent fruit or seed drop","Ripe fruits","fruits","col.leaves","leafdrop"
"Populus","deltoides",86282,2016,84,229,101,NA,133,229,133,114,115,NA,NA,NA,229,229
"Populus","deltoides",86282,2017,102,231,109,NA,120,236,120,109,110,NA,NA,NA,231,236
"Populus","deltoides",86282,2018,117,236,112,NA,123,236,118,NA,NA,NA,NA,NA,236,236
"Populus","deltoides",86282,2019,97,229,104,NA,128,229,128,NA,NA,NA,NA,NA,229,229
"Populus","deltoides",86282,2020,105,255,103,156,127,225,127,113,113,156,156,156,255,225
"Quercus","alba",87756,2015,NA,248,NA,NA,NA,248,144,NA,NA,279,NA,NA,248,248
"Quercus","alba",87756,2016,115,148,NA,NA,133,291,133,NA,NA,247,NA,NA,148,291
"Quercus","alba",87756,2017,109,288,NA,241,120,260,120,NA,NA,247,260,241,288,260
"Quercus","alba",87756,2018,124,287,136,NA,124,276,124,136,136,251,NA,NA,287,276
"Quercus","alba",87756,2019,113,287,NA,NA,123,288,123,NA,NA,248,NA,NA,287,288
"Quercus","alba",87756,2020,123,272,127,NA,126,289,125,NA,NA,NA,NA,NA,272,289
"Quercus","alba",87758,2015,NA,NA,NA,NA,NA,NA,252,NA,NA,NA,NA,NA,NA,NA
"Quercus","alba",87758,2016,115,282,130,NA,142,282,142,142,142,282,NA,NA,282,282
"Quercus","alba",87758,2017,118,271,118,225,119,278,119,131,NA,264,257,225,271,278
"Quercus","alba",87758,2018,122,274,122,177,129,279,126,136,136,258,258,177,274,279
"Quercus","alba",87758,2019,117,268,126,183,126,286,127,NA,NA,NA,NA,183,268,286
"Quercus","alba",87758,2020,NA,NA,NA,NA,NA,NA,248,NA,NA,NA,NA,NA,NA,NA
"Quercus","alba",87759,2015,NA,NA,NA,NA,NA,NA,252,NA,NA,NA,NA,NA,NA,NA
"Quercus","alba",87759,2016,127,282,142,NA,142,282,142,NA,NA,NA,NA,NA,282,282
"Quercus","alba",87759,2017,110,267,127,228,132,288,124,132,NA,257,257,228,267,288
"Quercus","alba",87759,2018,122,282,128,183,129,296,126,136,NA,282,282,183,282,296
"Quercus","alba",87759,2019,117,268,126,NA,126,268,127,NA,NA,NA,NA,NA,268,268
"Quercus","alba",87761,2015,NA,NA,NA,NA,NA,NA,252,NA,NA,NA,NA,NA,NA,NA
"Quercus","alba",87761,2016,115,282,NA,NA,142,303,142,NA,NA,304,NA,NA,282,303
"Quercus","alba",87761,2017,117,291,131,266,124,300,124,NA,NA,264,266,266,291,300
"Quercus","alba",87761,2018,122,282,131,282,126,282,123,136,NA,260,NA,282,282,282
"Quercus","alba",87761,2019,111,286,121,NA,126,291,127,NA,NA,NA,NA,NA,286,291
"Quercus","alba",87761,2020,NA,273,NA,NA,NA,298,126,NA,NA,NA,NA,NA,273,298
"Quercus","alba",88311,2015,NA,NA,NA,NA,NA,NA,252,NA,NA,NA,NA,NA,NA,NA
"Quercus","alba",88311,2016,115,279,142,NA,142,282,142,NA,NA,NA,NA,NA,279,282
"Quercus","alba",88311,2017,110,257,127,207,131,285,119,127,NA,288,NA,207,257,285
"Quercus","alba",88311,2018,122,282,128,183,129,282,123,131,135,282,282,183,282,282
"Quercus","alba",88311,2019,117,260,126,207,126,268,127,NA,NA,NA,NA,207,260,268
"Quercus","rubra",86285,2015,NA,252,NA,252,NA,NA,252,NA,NA,252,NA,252,252,NA
"Quercus","rubra",86285,2016,115,282,NA,304,NA,282,130,NA,NA,243,304,304,282,282
"Quercus","rubra",86285,2017,117,177,118,215,118,285,118,124,NA,242,264,215,177,285
"Quercus","rubra",86285,2018,122,282,123,203,125,282,122,128,131,260,NA,203,282,282
"Quercus","rubra",86285,2019,110,268,113,161,118,268,118,131,NA,252,252,161,268,268
"Quercus","rubra",86285,2020,NA,299,NA,NA,126,305,126,NA,NA,NA,NA,NA,299,305
"Quercus","rubra",86286,2015,NA,278,NA,NA,NA,NA,252,NA,NA,278,278,NA,278,NA
"Quercus","rubra",86286,2016,127,282,NA,NA,142,282,142,NA,NA,243,NA,NA,282,282
"Quercus","rubra",86286,2017,119,270,NA,236,132,267,124,NA,NA,242,251,236,270,267
"Quercus","rubra",86286,2018,122,282,128,NA,125,282,125,130,131,NA,NA,NA,282,282
"Quercus","rubra",86286,2019,110,260,126,190,128,268,118,130,NA,252,260,190,260,268
"Quercus","rubra",86286,2020,NA,299,NA,249,NA,305,249,NA,NA,NA,NA,249,299,305
"Quercus","rubra",86287,2015,NA,NA,NA,NA,NA,NA,218,NA,NA,NA,NA,NA,NA,NA
"Quercus","rubra",86287,2016,115,282,115,NA,NA,282,127,115,NA,243,NA,NA,282,282
"Quercus","rubra",86287,2017,110,272,117,264,113,291,113,NA,NA,NA,NA,264,272,291
"Quercus","rubra",86287,2018,118,272,128,208,122,282,122,129,NA,251,250,208,272,282
"Quercus","rubra",86287,2019,107,260,121,158,113,260,113,NA,NA,237,237,158,260,260
"Quercus","rubra",86287,2020,NA,299,NA,NA,NA,305,234,NA,NA,NA,NA,NA,299,305
"Quercus","rubra",86288,2015,NA,NA,NA,NA,NA,NA,252,NA,NA,NA,NA,NA,NA,NA
"Quercus","rubra",86288,2016,115,289,NA,264,142,289,130,NA,NA,264,290,264,289,289
"Quercus","rubra",86288,2017,110,271,NA,NA,127,267,119,NA,NA,264,NA,NA,271,267
"Quercus","rubra",86288,2018,122,282,128,260,125,296,123,130,131,260,264,260,282,296
"Quercus","rubra",86288,2019,107,268,129,228,128,268,128,130,NA,NA,260,228,268,268
"Quercus","rubra",86288,2020,NA,299,NA,249,NA,305,249,NA,NA,NA,263,249,299,305
"Quercus","rubra",87760,2015,NA,NA,NA,NA,NA,NA,252,NA,NA,252,NA,NA,NA,NA
"Quercus","rubra",87760,2016,115,282,115,NA,NA,282,127,NA,NA,268,NA,NA,282,282
"Quercus","rubra",87760,2017,110,272,NA,NA,124,288,117,NA,NA,NA,NA,NA,272,288
"Quercus","rubra",87760,2018,122,264,128,NA,122,282,122,129,135,272,NA,NA,264,282
"Quercus","rubra",87760,2019,107,260,121,190,113,268,113,138,NA,NA,252,190,260,268
"Tilia","americana",86289,2015,NA,256,154,202,NA,256,144,NA,NA,NA,248,202,256,256
"Tilia","americana",86289,2016,94,257,152,247,118,286,118,188,189,248,NA,247,257,286
"Tilia","americana",86289,2017,98,295,110,184,107,257,107,185,185,186,186,184,295,257
"Tilia","americana",86289,2018,117,276,136,188,124,271,122,177,NA,202,202,188,276,271
"Tilia","americana",86289,2019,104,267,140,186,115,293,115,183,183,206,206,186,267,293
"Tilia","americana",86289,2020,116,261,147,196,125,261,125,181,NA,251,217,196,261,261
"Tilia","americana",86289,2021,110,NA,127,NA,118,NA,118,NA,NA,NA,NA,NA,NA,NA
"Tilia","americana",86290,2015,NA,255,NA,NA,NA,255,137,NA,NA,NA,NA,NA,255,255
"Tilia","americana",86290,2016,111,252,142,199,122,260,115,182,189,262,262,199,252,260
"Tilia","americana",86290,2017,107,234,127,193,119,234,113,NA,NA,NA,234,193,234,234
"Tilia","americana",86290,2018,118,231,133,199,127,231,121,192,NA,222,218,199,231,231
"Tilia","americana",86290,2019,109,221,161,195,112,227,114,185,NA,262,227,195,221,227
"Tilia","americana",86290,2020,120,229,133,126,126,229,126,189,NA,203,126,126,229,229
"Tilia","americana",86290,2021,114,NA,132,NA,121,NA,119,NA,NA,NA,NA,NA,NA,NA
"Tilia","americana",87757,2015,NA,279,NA,NA,NA,279,144,NA,NA,NA,NA,NA,279,279
"Tilia","americana",87757,2016,94,280,NA,247,133,262,118,NA,NA,NA,NA,247,280,262
"Tilia","americana",87757,2017,104,270,141,184,116,270,116,179,185,186,186,184,270,270
"Tilia","americana",87757,2018,123,260,134,206,124,262,124,NA,NA,246,225,206,260,262
"Tilia","americana",87757,2019,113,260,140,206,123,260,123,183,183,206,206,206,260,260
"Tilia","americana",87757,2020,119,260,147,188,125,260,125,177,181,217,222,188,260,260
"Tilia","americana",87762,2015,NA,255,NA,NA,NA,255,137,NA,NA,NA,NA,NA,255,255
"Tilia","americana",87762,2016,111,215,130,199,122,281,115,179,NA,262,262,199,215,281
"Tilia","americana",87762,2017,101,301,127,186,110,301,107,172,NA,234,221,186,301,301
"Tilia","americana",87762,2018,117,246,137,192,128,234,122,NA,NA,257,243,192,246,234
"Tilia","americana",87762,2019,109,185,138,190,111,243,111,178,NA,262,227,190,185,243
"Tilia","americana",87762,2020,112,229,169,75,126,229,126,178,NA,213,75,75,229,229
"Tilia","americana",87762,2021,114,NA,NA,NA,114,NA,114,NA,NA,NA,NA,NA,NA,NA
"Tilia","americana",87763,2015,NA,230,NA,NA,NA,255,137,NA,NA,NA,NA,NA,230,255
"Tilia","americana",87763,2016,105,252,152,193,115,260,115,176,178,293,262,193,252,260
"Tilia","americana",87763,2017,106,234,127,148,110,234,107,173,NA,234,224,148,234,234
"Tilia","americana",87763,2018,118,234,131,195,128,227,122,NA,NA,NA,NA,195,234,227
"Tilia","americana",87763,2019,111,214,138,147,115,227,111,NA,NA,278,243,147,214,227
"Tilia","americana",87763,2020,108,220,133,126,119,229,119,NA,NA,203,126,126,220,229
"Tilia","americana",87763,2021,108,NA,126,NA,109,NA,109,NA,NA,NA,NA,NA,NA,NA
"Vaccinium","corymbosum",166768,2018,NA,272,NA,NA,NA,280,202,NA,NA,NA,NA,NA,272,280
"Vaccinium","corymbosum",166768,2019,96,224,92,147,117,257,111,115,NA,NA,175,147,224,257
"Vaccinium","corymbosum",166768,2020,80,268,106,152,111,NA,125,111,NA,NA,174,152,268,NA
"Vaccinium","corymbosum",166768,2021,101,NA,95,NA,109,NA,109,109,NA,NA,NA,NA,NA,NA
"Vaccinium","corymbosum",166769,2018,NA,224,NA,NA,NA,280,202,NA,NA,NA,NA,NA,224,280
"Vaccinium","corymbosum",166769,2019,96,257,94,149,117,269,117,120,NA,NA,210,149,257,269
"Vaccinium","corymbosum",166769,2020,80,219,106,152,111,NA,125,125,NA,NA,NA,152,219,NA
"Vaccinium","corymbosum",166773,2018,NA,308,NA,NA,NA,308,202,NA,NA,NA,NA,NA,308,308
"Vaccinium","corymbosum",166773,2019,104,239,92,160,117,279,117,124,NA,NA,203,160,239,279
"Vaccinium","corymbosum",166773,2020,80,259,106,152,111,NA,125,NA,NA,NA,NA,152,259,NA
"Vaccinium","corymbosum",166774,2018,NA,308,NA,NA,NA,308,202,NA,NA,NA,NA,NA,308,308
"Vaccinium","corymbosum",166774,2019,104,245,92,160,117,279,117,124,NA,NA,NA,160,245,279
"Vaccinium","corymbosum",166774,2020,80,NA,106,152,111,NA,125,NA,NA,NA,NA,152,NA,NA
"Vaccinium","corymbosum",166775,2018,NA,280,NA,NA,NA,280,202,NA,NA,NA,NA,NA,280,280
"Vaccinium","corymbosum",166775,2019,101,224,92,160,115,250,111,114,NA,NA,195,160,224,250
"Vaccinium","corymbosum",166775,2020,80,250,102,153,106,263,120,125,NA,NA,175,153,250,263
"Vaccinium","corymbosum",166775,2021,95,NA,101,139,101,NA,101,109,NA,NA,NA,139,NA,NA
"Viburnum","nudum",169165,2018,NA,287,NA,189,NA,308,189,NA,NA,287,260,189,287,308
"Viburnum","nudum",169165,2019,103,239,103,166,103,267,103,150,NA,263,230,166,239,267
"Viburnum","nudum",169165,2020,79,244,105,162,97,NA,100,152,NA,279,250,162,244,NA
"Viburnum","nudum",169165,2021,88,NA,99,NA,99,NA,99,NA,NA,NA,NA,NA,NA,NA
"Viburnum","nudum",169166,2018,NA,304,NA,189,NA,308,189,NA,NA,NA,NA,189,304,308
"Viburnum","nudum",169166,2019,101,220,103,166,103,267,103,151,NA,261,233,166,220,267
"Viburnum","nudum",169166,2020,97,244,97,160,97,NA,100,152,NA,279,250,160,244,NA
"Viburnum","nudum",169167,2018,NA,278,NA,197,NA,308,197,NA,NA,224,224,197,278,308
"Viburnum","nudum",169167,2019,103,238,103,166,103,267,103,151,NA,263,230,166,238,267
"Viburnum","nudum",169167,2020,97,237,105,158,97,NA,100,152,NA,NA,234,158,237,NA
"Viburnum","nudum",169168,2018,NA,304,280,197,NA,304,197,NA,NA,260,260,197,304,304
"Viburnum","nudum",169168,2019,103,220,103,166,103,267,103,153,NA,261,245,166,220,267
"Viburnum","nudum",169168,2020,88,245,105,160,97,NA,100,154,NA,279,250,160,245,NA
"Viburnum","nudum",169171,2018,NA,287,251,251,NA,314,170,229,NA,NA,NA,251,287,314
"Viburnum","nudum",169171,2019,104,264,109,173,134,287,109,154,NA,186,186,173,264,287
"Viburnum","nudum",169171,2020,99,261,104,163,108,272,104,151,NA,NA,NA,163,261,272
"Viburnum","nudum",169171,2021,109,NA,NA,NA,99,NA,99,NA,NA,NA,NA,NA,NA,NA
